Population by District Council District and Sex,,,,
,,,,
,,Population,,
,,Number of Persons,,
Sex,,Male,Female,Total
Region - Hong Kong Island/ Kowloon/ New Territories/ Marine,District Council District - 18 Districts and Marine,,,
Hong Kong Island,Central and Western, 98 282, 137 671, 235 953
,Wan Chai (1), 67 075, 99 620, 166 695
,Eastern (1), 233 542, 296 061, 529 603
,Southern, 116 239, 147 039, 263 278
,Sub-Total, 515 138, 680 391,1 195 529
Kowloon,Yau Tsim Mong, 138 873, 171 774, 310 647
,Sham Shui Po, 197 878, 233 212, 431 090
,Kowloon City, 179 518, 231 116, 410 634
,Wong Tai Sin, 187 531, 219 271, 406 802
,Kwun Tong, 312 303, 360 863, 673 166
,Sub-Total,1 016 103,1 216 236,2 232 339
New Territories,Kwai Tsing, 232 213, 263 585, 495 798
,Tsuen Wan, 146 412, 173 682, 320 094
,Tuen Mun, 240 321, 266 558, 506 879
,Yuen Long, 314 056, 354 024, 668 080
,North, 145 343, 164 288, 309 631
,Tai Po, 146 038, 170 432, 316 470
,Sha Tin, 317 927, 374 879, 692 806
,Sai Kung, 223 094, 265 943, 489 037
,Islands, 84 985, 100 297, 185 282
,Sub-Total,1 850 389,2 133 688,3 984 077
Marine,,637,488, 1 125
Total,,3 382 267,4 030 803,7 413 070
