GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"DzQ5mH05w5","Parks, Zoos and Gardens","Cheung Fai Road Promenade","Cheung Fai Road, Tsing Yi, N.T.","公園及動植物公園","長輝路海濱花園","青衣長輝路","KWAI TSING","葵青","INCLUSIVE PARK FOR PETS","寵物共享公園","24 hours daily","每日24小時開放","2481 5435","2481 5435","","","","","","","Dog excreta collection bin","狗糞收集箱","823420.0","829517.0","22.34987903","114.11133484","2022-04-19 08:23:36"
"klKC2x8CVF","Parks, Zoos and Gardens","Pui To Road (South) Rest Garden","Tin Hau Road, Tuen Mun","公園及動植物公園","杯渡路(南)休憩花園","屯門天后路","TUEN MUN","屯門","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2451 3110","2451 3110","","","","","","","Water dispenser, Toilets (with accessible toilets), Dog excreta collection bin","飲水設施、洗手間(設有暢通易達洗手間)、狗糞收集箱","828149.0","815145.0","22.3924687","113.971751","2022-04-19 03:36:08"
"anub7Fp9zb","Parks, Zoos and Gardens","Tuen Mun Park","Tuen Mun Heung Sze Wui Road, Tuen Mun","公園及動植物公園","屯門公園","屯門屯門鄉事會路","TUEN MUN","屯門","AMPHITHEATRE,BADMINTON COURTS,CYCLING TRACKS/GROUNDS,INCLUSIVE PARK FOR PETS,MODEL BOAT POOLS,PARK,VOLLEYBALL COURTS","露天劇場,羽毛球場,單車徑/場,寵物共享公園,模型船池,公園,排球場","24 hours daily","每日24小時開放","2451 1144","2451 1144","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/ls_park.php","http://www.lcsd.gov.hk/b5/ls_park.php","Dog excreta collection bin, Water dispenser, Toilets (with accessible toilets)","狗糞收集箱、飲水設施、洗手間(設有暢通易達洗手間)","828090.0","815319.0","22.39193385","113.97344392","2022-04-19 03:34:43"
"OBJ88Ylg3K","Parks, Zoos and Gardens","Waterfall Bay Park","Waterfall Bay Road, Wah Fu Estate","公園及動植物公園","瀑布灣公園","華富邨瀑布灣道","SOUTHERN","南區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2555 1268","2555 1268","","","","","","","Toilet (with accessible toilet), dog excreta collection bin","洗手間(設有暢通易達洗手間)、狗糞收集箱","812386.0","831960.0","22.2502441","114.13508775","2022-04-19 03:31:41"
"CMBU6quaVP","Parks, Zoos and Gardens","Ap Lei Chau Waterfront Promenade","Ap Lei Chau Main Street, Ap Lei Chau, Hong Kong","公園及動植物公園","鴨脷洲海濱長廊","香港鴨脷洲鴨脷洲大街","SOUTHERN","南區","DOG GARDENS/PET GARDENS,INCLUSIVE PARK FOR PETS,SITTING-OUT AREA","狗公園/寵物公園,寵物共享公園,休憩處","24 hours daily","每日24小時開放","2555 1268","2555 1268","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Toilet (with accessible toilet), dog excreta collection bin","洗手間(設有暢通易達洗手間)、狗糞收集箱","811786.0","834058.0","22.2448246","114.15543843","2022-04-19 03:29:14"
"eqyDcOtmUV","Parks, Zoos and Gardens","Ap Lei Chau Park","Ap Lei Chau Main Street, Ap Lei Chau, Hong Kong","公園及動植物公園","鴨脷洲公園","香港鴨脷洲鴨脷洲大街","SOUTHERN","南區","INCLUSIVE PARK FOR PETS,PLAY EQUIPMENT FOR ALL CHILDREN","寵物共享公園,共融遊樂設施","24 hours daily","每日24小時開放","2555 1268","2555 1268","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","Toilets (with accessible toilets), dog excreta collection bin","洗手間(設有暢通易達洗手間)、狗糞收集箱","811819.0","834309.0","22.24512201","114.15787523","2022-04-19 03:24:46"
"JfoDsKxCKD","Parks, Zoos and Gardens","Wo Keng Shan Road Garden","Wo Keng Shan Road, Sha Tau Kok Road, Fanling, N.T","公園及動植物公園","禾徑山路花園","新界粉嶺沙頭角路禾徑山路","NORTH","北區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2679 2826","2679 2826","","","","","","","Pavilion, Arbour, Park bench, Dog excreta collection bin","涼亭、陰棚、公園座椅、狗糞收集箱","842517.0","836543.0","22.52234447","114.17954941","2022-04-19 03:20:18"
"IpOIObANJV","Parks, Zoos and Gardens","Cafeteria Old Beach Sitting-out Area","Cafeteria Old Beach, Tuen Mun","公園及動植物公園","舊咖啡灣休憩處","屯門舊咖啡灣","TUEN MUN","屯門","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2451 3110","2451 3110","","","","","","","Dog excreta collection bin","狗糞收集箱","826252.0","816524.0","22.3753477","113.98517","2022-02-09 01:56:28"
"t6UJegIWPD","Parks, Zoos and Gardens","Kai Tak Sky Garden","Shing Fung Road, Kai Tak","公園及動植物公園","啟德空中花園","九龍啟德承豐道","KOWLOON CITY","九龍城","INCLUSIVE PARK FOR PETS","寵物共享公園","24 HOURS DAILY","每日24小時開放","2806 3210","2806 3210","","","","","","","Dog excreta collection bin","狗糞收集箱","819135.0","839449.0","22.3111919","114.207753","2022-02-09 01:52:48"
"awgISuDmyo","Parks, Zoos and Gardens","Central and Western Distrcit Promenade - Western Wholesale Food Market Setcion","8 Fung Mat Road, Sai Wan","公園及動植物公園","中西區海濱長廊 – 西區副食品批發市場段","西環豐物道 8 號","CENTRAL AND WESTERN","中西區","INCLUSIVE PARK FOR PETS","寵物共享公園","24 hours daily<br/>(From 7am to 11pm at waterfront area along pier 5)","每日24小時開放<br/> (五號碼頭臨海地段每日早上7時至晚上11時)","2853 2575","2853 2575","","","","","","","Toilets (with accessible toilets), Dog excreta collection bin","洗手間(設有暢通易達洗手間)、狗糞收集箱","816738.0","832058.0","22.2895423","114.13602576","2022-02-09 01:45:05"
