ownershipEN,locationZH,relevantDistrictCouncilZH,nameZH,ownershipZH,locationEN,nameEN,relevantDistrictCouncilEN,items
Multiple Ownership,大嶼山愉景灣,離島,大嶼山愉景灣,共有業權,"Discovery Bay, Lantau","Discovery Bay, Lantau",ISLANDS,
Multiple Ownership,康城路 1號,西貢,日出康城,共有業權,1 LOHAS PARK ROAD,LOHAS Park,SAI KUNG,
Single Ownership,楊屋道 8號,荃灣,如心廣場,單一業權,8 YEUNG UK ROAD,Nina Tower,TSUEN WAN,
Single Ownership,常盛街 1 號,九龍城,香港都會大學,單一業權,1 Sheung Shing Street,Hong Kong Metropolitan University,KOWLOON CITY,
Single Ownership,漆咸道南181號,油尖旺,香港理工大學八期,單一業權,181 Chatham Road South,Phase 8 Development of the Hong Kong Polytechnic University,YAU TSIM MONG,
Multiple Ownership,屏柏里8號,元朗,南屏匯,共有業權,8 Ping Pak Lane,La Aldea,YUEN LONG,
Multiple Ownership,青山公路–荃灣段633號,荃灣,灣景花園,共有業權,633 Castle Peak Road - Tsuen Wan,Bayview Garden,TSUEN WAN,
Multiple Ownership,樂翠街9號,屯門,樂翠街9號,共有業權,9 LOK CHUI STREET,9 LOK CHUI STREET,TUEN MUN,
Multiple Ownership,皇后大道中99號,中西區,中環中心,共有業權,99 Queen's Road Central,The Center,CENTRAL & WESTERN,
Multiple Ownership,德輔道中199號,中西區,無限極廣場,共有業權,199 Des Voeux Road Central,Infinitus Plaza,CENTRAL & WESTERN,
Multiple Ownership,中環港景街,中西區,香港站物業發展,共有業權,"Harbour View Street, Central",Hong Kong Station Development,CENTRAL & WESTERN,
Multiple Ownership,康樂廣場8號,中西區,交易廣場,共有業權,8 Connaught Place,Exchange Square,CENTRAL & WESTERN,
Multiple Ownership,永樂街31 - 33號 / 皇后大道中181 - 183號,中西區,中遠大廈及新紀元廣場,共有業權,31 - 33 Wing Lok Street / 181 - 183 Queen's Road Central,Cosco Tower and Grand Millennium Plaza,CENTRAL & WESTERN,
Single Ownership,皇后大道中2號,中西區,長江集團中心,單一業權,2 Queen's Road Central,Cheung Kong Center,CENTRAL & WESTERN,
Multiple Ownership,花園道3號,中西區,花旗銀行廣場,共有業權,3 Garden Road,Citibank Plaza,CENTRAL & WESTERN,
Multiple Ownership,淺水灣道36號,南區,淺水灣道36號,共有業權,36 Repulse Bay Road,36 Repulse Bay Road,SOUTHERN,
Multiple Ownership,青山公路–荃灣段530 - 590號,荃灣,麗城花園第一期,共有業權,530 - 590 Castle Peak Road - Tsuen Wan,Belvedere Garden Phase 1,TSUEN WAN,
Single Ownership,淺水灣道87號,南區,淺水灣道87號,單一業權,87 Repulse Bay Road,87 Repulse Bay Road,SOUTHERN,
Single Ownership,舊山頂道9號,中西區,裕景花園,單一業權,9 Old Peak Road,Queen's Garden,CENTRAL & WESTERN,
Multiple Ownership,鴨脷洲北悅海街1 - 3號,南區,悅海華庭,共有業權,"1 - 3 Yuet Hoi Street, Ap Lei Chau North",Marina Habitat,SOUTHERN,
Multiple Ownership,淺水灣道3號,南區,淺水灣道3號,共有業權,3 Repulse Bay Road,3 Repulse Bay Road,SOUTHERN,
