GMID,Dataset,Address,數據集,地址,District,區域,Area,面積,Level,所處位置,Opening Hours,開放時間,Remarks,備註,Location Map,位置圖,Northing,Easting,Latitude,Longitude,Last Update
"APhZxFBDyI","Public Open Space - Areas within private properties dedicated for public use","86 Belcher's Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港卑路乍街86號","CENTRAL AND WESTERN","中西區","about 10 m<sup>2</sup>","約 10 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW83-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW83-map.pdf","815953.0","831267.0","22.28245555","114.12835532","2019-07-26 09:31:53"
"i6KmIhpULg","Public Open Space - Areas within private properties dedicated for public use","98 Bonham Strand and Morrison Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港文咸東街98號及摩利臣街","CENTRAL AND WESTERN","中西區","about 1 m2","約 1 平方米","G/F","地下","24 hours","24小時","Street widening (corner)","街道擴闊(街角)","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW80-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW80-map.pdf","816365.0","833525.0","22.28618123","114.15025911","2019-07-26 03:44:25"
"ou3falWXOv","Public Open Space - Areas within private properties dedicated for public use","11 Chater Road and 8 Connaught Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港遮打道11號及干諾道中8號","CENTRAL AND WESTERN","中西區","about 959 m2","約 959 平方米","G/F & 1/F","地下及一樓","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW05-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW05-map.pdf","815923.0","834364.0","22.28218721","114.15840781","2019-07-26 03:44:25"
"j9d57EgUFU","Public Open Space - Areas within private properties dedicated for public use","100 Caine Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港堅道100號","CENTRAL AND WESTERN","中西區","about 121 m2","約 121 平方米","LG/F","地下低層","24 hours","24小時","Public passage","公眾通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW92-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW92-map.pdf","815946.0","833550.0","22.28239382","114.15050047","2019-07-26 03:44:25"
"kTPKnthOxk","Public Open Space - Areas within private properties dedicated for public use","1 Connaught Place, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港康樂廣場1號","CENTRAL AND WESTERN","中西區","about 3158 m2","約 3158 平方米","G/F plaza","地下廣場","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW33-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW33-map.pdf","816014.0","834441.0","22.28300637","114.1591471","2019-07-26 03:44:24"
"DAo80SE0NO","Public Open Space - Areas within private properties dedicated for public use","18 Chater Road, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港遮打道18號","CENTRAL AND WESTERN","中西區","about 1461 m2","約 1461 平方米","basement, G/F, 1/F & 2/F","地庫、地下、一樓及二樓","24 hours","24小時","Pedestrian passage","行人通道","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW43-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW43-map.pdf","815847.0","834378.0","22.28149818","114.15853598","2019-07-26 03:44:24"
"IgHwwxbHVd","Public Open Space - Areas within private properties dedicated for public use","51 Centre Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港正街51號","CENTRAL AND WESTERN","中西區","about 8 m2","約 8 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW22-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW22-map.pdf","816278.0","832716.0","22.28539048","114.14241582","2019-07-26 03:44:24"
"4roaN0SUbU","Public Open Space - Areas within private properties dedicated for public use","27-37 Centre Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港正街27-37號","CENTRAL AND WESTERN","中西區","about 27 m2","約 27 平方米","Upper G/F","地下高層","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW24-map.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/HK/HKW24-map.pdf","816387.0","832713.0","22.28637842","114.14237871","2019-07-26 03:44:24"
"65olduopsx","Public Open Space - Areas within private properties dedicated for public use","255-257 Des Voeux Road Central, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中255至257號","CENTRAL AND WESTERN","中西區","about 5 m2","約 5 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/RL10-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/RL10-map1.pdf","816434.0","833707.0","22.2867983","114.15203186","2019-07-26 03:44:24"
"L9XvBgDS6q","Public Open Space - Areas within private properties dedicated for public use","244-252 Des Voeux Road Central and 36-44 Wing Lok Street, Hong Kong","公眾空間 - 私人物業範圍內撥出供公眾使用的地方","香港德輔道中244至252號及永樂街36至44號","CENTRAL AND WESTERN","中西區","about 31 m2","約 31 平方米","G/F","地下","24 hours","24小時","Street widening","街道擴闊","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL12-map1.pdf","https://www.bd.gov.hk/doc/tc/resources/codes-and-references/public-open-space/RL/07RL12-map1.pdf","816375.0","833721.0","22.28626551","114.15216004","2019-07-26 03:44:24"
